e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270992,NCC21S.GX2,STICKKONTAKT 2-POL GRÅ,connector,EnstoNet,2-pol,gray,st,,true
1270993,NCC22S.GX2,HYLSKONTAKT 2-POL GRÅ,connector,EnstoNet,2-pol,gray,st,,true
1270286,NAC31S.WX2,STICKKONTAKT 3P VIT,connector,EnstoNet,3-pol,white,st,,true
1270287,NAC32S.WX2,HYLSKONTAKT 3P VIT,connector,EnstoNet,3-pol,white,st,,true
1270344,NAC31S.BX2,STICKKONTAKT SVART,connector,EnstoNet,3-pol,black,st,,true
1270345,NAC32S.BX2,HYLSKONTAKT SVART,connector,EnstoNet,3-pol,black,st,,true
1270346,NBC31S.SX2,STICKKONTAKT BLÅ,connector,EnstoNet,3-pol,blue,st,,true
1270347,NBC32S.SX2,HYLSKONTAKT BLÅ,connector,EnstoNet,3-pol,blue,st,,true
1270288,NAC51S.WX2,STICKKONTAKT 5P VIT,connector,EnstoNet,5-pol,white,st,,true
1270289,NAC52S.WX2,HYLSKONTAKT 5P VIT,connector,EnstoNet,5-pol,white,st,,true
1270350,NAC51S.BX2,STICKKONTAKT SVART,connector,EnstoNet,5-pol,black,st,,true
1270351,NAC52S.BX2,HYLSKONTAKT SVART,connector,EnstoNet,5-pol,black,st,,true
1270352,NBC51S.SX2,STICKKONTAKT BLÅ,connector,EnstoNet,5-pol,blue,st,,true
1270353,NBC52S.SX2,HYLSKONTAKT BLÅ,connector,EnstoNet,5-pol,blue,st,,true
1270354,NCC51S.GX2,STICKKONTAKT GRÅ,connector,EnstoNet,5-pol,gray,st,,true
1270355,NCC52S.GX2,HYLSKONTAKT GRÅ,connector,EnstoNet,5-pol,gray,st,,true
1270263,NAD3T.W,T-FÖRGRENING VIT,branch_connector,EnstoNet,3-pol,white,st,,true
1270453,NAD5T.W,T-FÖRGRENING VIT,branch_connector,EnstoNet,5-pol,white,st,,true
1270454,NAD5T.B,T-FÖRGRENING SVART,branch_connector,EnstoNet,5-pol,black,st,,true
1270455,NCD5T.G,T-FÖRGRENING GRÅ,branch_connector,EnstoNet,5-pol,gray,st,,true
1270436,NCD2.G,FÖRGRENINGSDON GRÅ,branch_connector,EnstoNet,2-pol,gray,st,,true
1270152,NAD3.W,FÖRGRENINGSDON VIT,branch_connector,EnstoNet,3-pol,white,st,,true
1270154,NAD3.B,FÖRGRENINGSDON SVART,branch_connector,EnstoNet,3-pol,black,st,,true
1270153,NAD5.W,FÖRGRENINGSDON VIT,branch_connector,EnstoNet,5-pol,white,st,,true
1270155,NAD5.B,FÖRGRENINGSDON SVART,branch_connector,EnstoNet,5-pol,black,st,,true
1270267,NCD5.G,FÖRGRENINGSDON GRÅ,branch_connector,EnstoNet,5-pol,gray,st,,true
1270670,NAD36.W,FÖRGRENINGSDON VIT 1-FAS 7 UTGÅNGAR,branch_connector,EnstoNet,1-fas,white,st,,true
1270671,NAD36.B,FÖRGRENINGSDON SVART 1-FAS 7 UTGÅNGAR,branch_connector,EnstoNet,1-fas,black,st,,true
1270675,NAD56.W,FÖRGRENINGSDON VIT 3-FAS 6X1 UTGÅNGAR,branch_connector,EnstoNet,3-fas,white,st,,true
1270676,NAD56.B,FÖRGRENINGSDON SVART 3-FAS 6X1 UTGÅNGAR,branch_connector,EnstoNet,3-fas,black,st,,true
1270439,NAJDM36,FÖRGRENINGSDOSA VIT 1-FAS / 6X1-FAS,box,EnstoNet,1-fas,white,st,,true
1270149,NAJDM56,FÖRGRENINGSDOSA VIT 3-FAS / 6X1-FAS,box,EnstoNet,3-fas,white,st,,true
1270151,NAJDM56.B,FÖRGRENINGSDOSA SVART 3-FAS / 6X1-FAS,box,EnstoNet,3-fas,black,st,,true
1271062,NAD3LA.W,LINECT 3-POL VIT,linect,EnstoNet,3-pol,white,st,,true
1271063,NCD5LI.G,LINECT 5-POL GRÅ DALI,linect,EnstoNet,5-pol,gray,st,,true
1270291,NAP304,Förgrenar 1-fas matning till 1st 2-vägsuttag,accessory,EnstoNet,1-fas,,st,,true
1270340,NAP500,Förgrenar 3-fas matning till 2st 2-vägsuttag,accessory,EnstoNet,3-fas,,st,,true
1270292,NAP504,Förgrenar 3-fas matning till 1st 2-vägsuttag,accessory,EnstoNet,3-fas,,st,,true
,EAL40-9010,Uttagspanel 4xschuko vit,panel,EnstoNet,,white,st,,true
1271053,NGJKM525.WG,Kopplingsbox för manövrering av belysningsgrupper med Dali,box,EnstoNet,,white-gray,st,,true
1271054,NBOX0085,SKOLBOX 3 BEL UTG 1 SENS 3 TRYCKKN,box,EnstoNet,,,"st",,true
1271061,NGJKME381.WBS,Kopplingsbox klassrum,box,EnstoNet,,,"st",,true
1270194,NAL130T15020,KABL VIT HONA+FRI RQQ3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270666,NAL130T15030,KABL VIT HONA+FRI RQQ3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
1270195,NAL130T15040,KABL VIT HONA+FRI RQQ3G1,5 4M,cable,EnstoNet,3G1.5,white,m,4,true
1270120,NAL130T25020,KABL VIT HONA+FRI RQQ3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270669,NAL130T25030,KABL VIT HONA+FRI RQQ3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270121,NAL130T25040,KABL VIT HONA+FRI RQQ3G2,5 4M,cable,EnstoNet,3G2.5,white,m,4,true
1270186,NAL310T15010,KABL VIT HANE+FRI RQQ3G1,5 1M,cable,EnstoNet,3G1.5,white,m,1,true
1270116,NAL310T15020,KABL VIT HANE+FRI RQQ3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270187,NAL310T15030,KABL VIT HANE+FRI RQQ3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
1270117,NAL310T15040,KABL VIT HANE+FRI RQQ3G1,5 4M,cable,EnstoNet,3G1.5,white,m,4,true
1270188,NAL310T15050,KABL VIT HANE+FRI RQQ3G1,5 5M,cable,EnstoNet,3G1.5,white,m,5,true
1270205,NAL310T25010,KABL VIT HANE+FRI RQQ3G2,5 1M,cable,EnstoNet,3G2.5,white,m,1,true
1270206,NAL310T25020,KABL VIT HANE+FRI RQQ3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270207,NAL310T25030,KABL VIT HANE+FRI RQQ3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270208,NAL310T25040,KABL VIT HANE+FRI RQQ3G2,5 4M,cable,EnstoNet,3G2.5,white,m,4,true
1270209,NAL310T25050,KABL VIT HANE+FRI RQQ3G2,5 5M,cable,EnstoNet,3G2.5,white,m,5,true
1270017,NAL330T15020,KABL VIT HAN+HON RQQ 3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270018,NAL330T15030,KABL VIT HAN+HON RQQ 3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
1270019,NAL330T15040,KABL VIT HAN+HON RQQ 3G1,5 4M,cable,EnstoNet,3G1.5,white,m,4,true
1270020,NAL330T15050,KABL VIT HAN+HON RQQ 3G1,5 5M,cable,EnstoNet,3G1.5,white,m,5,true
1270021,NAL330T15060,KABL VIT HAN+HON RQQ 3G1,5 6M,cable,EnstoNet,3G1.5,white,m,6,true
1270046,NAL330T25020,KABL VIT HAN+HON RQQ 3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270047,NAL330T25030,KABL VIT HAN+HON RQQ 3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270048,NAL330T25040,KABL VIT HAN+HON RQQ 3G2,5 4M,cable,EnstoNet,3G2.5,white,m,4,true
1270049,NAL330T25050,KABL VIT HAN+HON RQQ 3G2,5 5M,cable,EnstoNet,3G2.5,white,m,5,true
1270050,NAL330T25060,KABL VIT HAN+HON RQQ 3G2,5 6M,cable,EnstoNet,3G2.5,white,m,6,true
1270230,NAL150T15020,KABL VIT HONA+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270680,NAL150T15030,KABL VIT HONA+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270231,NAL150T15040,KABL VIT HONA+FRI RQQ5G1,5 4M,cable,EnstoNet,5G1.5,white,m,4,true
1270246,NAL150T25020,KABL VIT HONA+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white,m,2,true
1270682,NAL150T25030,KABL VIT HONA+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white,m,3,true
1270247,NAL150T25040,KABL VIT HONA+FRI RQQ5G2,5 4M,cable,EnstoNet,5G2.5,white,m,4,true
1270658,NAL510T15010,KABL VIT HANE+FRI RQQ5G1,5 1M,cable,EnstoNet,5G1.5,white,m,1,true
1270221,NAL510T15020,KABL VIT HANE+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270222,NAL510T15030,KABL VIT HANE+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270223,NAL510T15040,KABL VIT HANE+FRI RQQ5G1,5 4M,cable,EnstoNet,5G1.5,white,m,4,true
1270224,NAL510T15050,KABL VIT HANE+FRI RQQ5G1,5 5M,cable,EnstoNet,5G1.5,white,m,5,true
1270660,NAL510T25010,KABL VIT HANE+FRI RQQ5G2,5 1M,cable,EnstoNet,5G2.5,white,m,1,true
